FID,modern_name,day,month,year,Date_Notes,latitude,longitude,County,notes,Sources,Sou,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Count,BekyntonMY,BekyntonYM,BekYMD
340,Dogmersfield,8,4,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1449,1449/4,1449/4/8
341,Dogmersfield,20,4,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Moreton,,Sir John Trevenant,,William Langton,notary-public,,,1,4/1449,1449/4,1449/4/20
342,Dogmersfield,2,6,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1449,1449/6,1449/6/2
343,Dogmersfield,5,6,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1449,1449/6,1449/6/5
344,Dogmersfield,12,6,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1449,1449/6,1449/6/12
345,Dogmersfield,14,6,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Moreton,,Master Thomas Mersh,,William Langton,notary-public,,,1,6/1449,1449/6,1449/6/14
346,Dogmersfield,16,7,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1449,1449/7,1449/7/16
347,Dogmersfield,27,12,1449,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1449,1449/12,1449/12/27
348,Dogmersfield,16,1,1450,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1450,1450/1,1450/1/16
349,Dogmersfield,21,2,1452,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1452,1452/2,1452/2/21
350,Dogmersfield,7,3,1452,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1452,1452/3,1452/3/7
351,Dogmersfield,29,6,1452,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1452,1452/6,1452/6/29
352,Dogmersfield,14,7,1452,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Merssh,,Thomas Purveour,,John Machon,notary-public,,,1,7/1452,1452/7,1452/7/14
353,Dogmersfield,30,7,1452,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Boleyn,Canon of Wells,John Appesford,,William Langton,notary-public,,,1,7/1452,1452/7,1452/7/30
354,Dogmersfield,23,8,1452,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Thomas,Bishop of London,,,,,,,1,8/1452,1452/8,1452/8/23
355,Dogmersfield,5,1,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1453,1453/1,1453/1/5
356,Dogmersfield,22,3,1453,,51.27107,-0.875273,Hampshire,,relook p. 202-03,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1453,1453/3,1453/3/22
357,Dogmersfield,5,4,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1453,1453/4,1453/4/5
358,Dogmersfield,6,4,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Richard Erle,,John Compeyne,,William Langton,notary-public,,,1,4/1453,1453/4,1453/4/6
359,Dogmersfield,12,4,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Compeyne,,John Payne,,William Langton,notary-public,,,1,4/1453,1453/4,1453/4/12
360,Dogmersfield,18,4,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1453,1453/4,1453/4/18
361,Dogmersfield,18,5,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1453,1453/5,1453/5/18
362,Dogmersfield,30,5,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1453,1453/5,1453/5/30
363,Dogmersfield,31,5,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1453,1453/5,1453/5/31
364,Dogmersfield,7,6,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Morton,,Master Thomas Bromehale,,William Langton,notary-public,,,1,6/1453,1453/6,1453/6/7
365,Dogmersfield,11,7,1453,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1453,1453/7,1453/7/11
366,Dogmersfield,19,5,1454,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1454,1454/5,1454/5/19
367,Dogmersfield,11,6,1454,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Kirkeby,,John Compeyne,,William Langton,notary-public,,,1,6/1454,1454/6,1454/6/11
368,Dogmersfield,24,6,1454,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Smyth,,Richard Roche,,William Langton,notary-public,,,1,6/1454,1454/6,1454/6/24
369,Dogmersfield,15,3,1455,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1455,1455/3,1455/3/15
370,Dogmersfield,18,3,1455,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Edmund Blunt,esquire,Thomas Smyth,,John Compayne,,,,1,3/1455,1455/3,1455/3/18
371,Dogmersfield,19,3,1455,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1455,1455/3,1455/3/19
372,Dogmersfield,24,7,1457,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1457,1457/7,1457/7/24
373,Dogmersfield,31,7,1457,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1457,1457/7,1457/7/31
374,Dogmersfield,22,8,1457,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Robert Norys,,John Compayne,,William Langton,notary-public,,,1,8/1457,1457/8,1457/8/22
375,Dogmersfield,9,9,1457,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Kyrkeby,Rector of the church of Hyghame,Thomas Merssh,Rector of the church of Horsyngton,William Langton,notary-public,,,1,9/1457,1457/9,1457/9/9
376,Dogmersfield,23,9,1457,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1457,1457/9,1457/9/23
377,Dogmersfield,10,8,1457,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1457,1457/8,1457/8/10
378,Dogmersfield,17,1,1458,,51.27107,-0.875273,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1458,1458/1,1458/1/17
379,Dogmersfield Manor,22,4,1445,,51.25834,-0.89606,Hampshire,Dogmersfeld manor,"*** p. 36 - the bishop, on production to him of the presentation of Sir Thomas Halton, chaplain, to the church of Lambroke by the dean and chapter of Wells, forwarded it by Mater William North to Master John Bernard, vicar-general in spirituals, with a v",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1445,1445/4,1445/4/22
380,Dogmersfield Manor,24,4,1445,,51.25834,-0.89606,Hampshire,Dogmersfeld manor,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1445,1445/4,1445/4/24
381,Dogmersfield Manor,20,6,1445,,51.25834,-0.89606,Hampshire,Dogmersfeld manor,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1445,1445/6,1445/6/20
382,Dogmersfield Manor,11,7,1445,,51.25834,-0.89606,Hampshire,Dogmersfeld manor,Bishop instituted said Sir John as rector (having been found by inquisition to be one of the true patrons of the church),Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1445,1445/7,1445/7/11
383,Dogmersfield Manor,23,6,1446,,51.25834,-0.89606,Hampshire,Dogmersfeld manor,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Sir Richard Hayman,,1,6/1446,1446/6,1446/6/23
384,Dogmersfield Manor,24,7,1447,,51.25834,-0.89606,Hampshire,,,,,,,,,,,,,,,1,7/1447,1447/7,1447/7/24
385,Dogmersfield Manor,25,1,1450,,51.25834,-0.89606,Hampshire,Bishop's manner of Dogmersfeld,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1450,1450/1,1450/1/25
386,Dogmersfield Manor,20,2,1445,,51.25834,-0.89606,Hampshire,,,,,,,,,,,,,,,1,2/1445,1445/2,1445/2/20
387,Dogmersfield Manor,27,3,1445,,51.25834,-0.89606,Hampshire,,,,,,,,,,,,,,,1,3/1445,1445/3,1445/3/27
388,Dogmersfield Manor,22,5,1445,,51.25834,-0.89606,Hampshire,"Saturday of the four seasons, eve of Holy Trinity",,,,,,,,,,,,,,1,5/1445,1445/5,1445/5/22
389,Dogmersfield Manor,18,12,1445,,51.25834,-0.89606,Hampshire,Saturday of the four seasons,,,,,,,,,,,,,,1,12/1445,1445/12,1445/12/18
390,Dogmersfield Manor,11,6,1446,,51.25834,-0.89606,Hampshire,,,,,,,,,,,,,,,1,6/1446,1446/6,1446/6/11
391,Dogmersfield Manor,8,4,1447,,51.25834,-0.89606,Hampshire,Holy Saturday,,,,,,,,,,,,,,1,4/1447,1447/4,1447/4/8
392,Dogmersfield Manor,3,6,1447,,51.25834,-0.89606,Hampshire,"Saturday of the four seasons, eve of Holy Trinity",,,,,,,,,,,,,,1,6/1447,1447/6,1447/6/3
393,Dogmersfield Manor,18,5,1448,,51.25834,-0.89606,Hampshire,Saturday of the four seasons,,,,,,,,,,,,,,1,5/1448,1448/5,1448/5/18
394,Dogmersfield Manor,21,12,1448,,51.25834,-0.89606,Hampshire,"Saturday of the four seasons, feast of St. Thomas the Apostle",,,,,,,,,,,,,,1,12/1448,1448/12,1448/12/21
395,Dogmersfield Manor,12,4,1449,,51.25834,-0.89606,Hampshire,Holy Saturday,,,,,,,,,,,,,,1,4/1449,1449/4,1449/4/12
396,Dogmersfield Manor,7,6,1449,,51.25834,-0.89606,Hampshire,Saturday of the four seasons,,,,,,,,,,,,,,1,6/1449,1449/6,1449/6/7
397,Dogmersfield Manor,22,2,1452,,51.25834,-0.89606,Hampshire,Feast of St. Peter in Cathedra,,,,,,,,,,,,,,1,2/1452,1452/2,1452/2/22
398,Dogmersfield Manor,4,3,1452,,51.25834,-0.89606,Hampshire,Saturday of the four seasons,,,,,,,,,,,,,,1,3/1452,1452/3,1452/3/4
399,Dogmersfield Manor,31,3,1453,,51.25834,-0.89606,,Holy Saturday,,,,,,,,,,,,,,1,3/1453,1453/3,1453/3/31
400,Evercreech,29,3,1444,,51.1445,-2.5068,Somerset,p. 9,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Payne,,Thomas Westley,,William Langton,notary-public,,,1,3/1444,1444/3,1444/3/29
401,Evercreech,30,3,1444,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1444,1444/3,1444/3/30
402,Evercreech,23,8,1445,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1445,1445/8,1445/8/23
403,Evercreech,31,8,1446,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1446,1446/8,1446/8/31
404,Evercreech,7,8,1447,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1447,1447/8,1447/8/7
405,Evercreech,25,8,1448,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1448,1448/8,1448/8/25
406,Evercreech,23,8,1455,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1455,1455/8,1455/8/23
407,Evercreech,29,9,1457,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1457,1457/9,1457/9/29
408,Evercreech,30,9,1457,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1457,1457/9,1457/9/30
409,Evercreech,2,10,1457,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1457,1457/10,1457/10/2
410,Evercreech,3,10,1457,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir John Garnesey,Vicar of the church of Banwell,John Bokelond,,William Langton,notary-public,,,1,10/1457,1457/10,1457/10/3
411,Evercreech,27,8,1459,,51.1445,-2.5068,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,"Rector of St. Faith's, London",1,8/1459,1459/8,1459/8/27
412,Frome,11,11,1449,,51.221727,-2.330722,Somerset,,p. 128,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1449,1449/11,1449/11/11
413,Frome,18,1,1452,,51.221727,-2.330722,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1452,1452/1,1452/1/18
414,Frome,15,9,1452,,51.221727,-2.330722,Somerset,,"p. 188 Certificate to the bishop by Master John Stokys, canon of Wells, the bishop's commissary-general, and Master John Middelton, bachelor in decrees (present?)",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1452,1452/9,1452/9/15
415,Glastonbury monastery,17,7,1455,,51.148065,-2.716199,Somerset,The chamber in Glastonbury monastery commonly called the Bishop's Chamber,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1455,1455/7,1455/7/17
416,Haytesbury,11,11,1449,,51.183,-2.109,,In the diocese of Salisbury,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir Thomas Shortrugg,Chaplain,Sir William Kyng,Chaplain,John Happesford,,,,1,11/1449,1449/11,1449/11/11
417,Ilchester,10,9,1444,,50.995382,-2.685346,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1444,1444/9,1444/9/10
418,Keynesham monastery,12,9,1455,,51.41792,-2.496108,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1455,1455/9,1455/9/12
419,Lamehith,14,3,1445,,51.493508,-0.117842,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1445,1445/3,1445/3/14
420,London,15,10,1443,,51.512747,-0.113583,London,,,,,,,,,,,,,,,1,10/1443,1443/10,1443/10/15
421,London,19,10,1443,,51.512747,-0.113583,London,,Register of Thomas Bekynton,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1443,1443/10,1443/10/19
422,London,19,10,1443,,51.512747,-0.113583,London,commission to Master John Stortwayt,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1443,1443/10,1443/10/19
423,London,24,10,1443,,51.512747,-0.113583,London,,***,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1443,1443/10,1443/10/24
424,London,30,10,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1443,1443/10,1443/10/30
425,London,6,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,William North,,1,11/1443,1443/11,1443/11/6
426,London,8,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Boleyn,Of the canonry of Wells and prebend of Dultecote alias Dultycote,,,,,,,1,11/1443,1443/11,1443/11/8
427,London,8,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/8
428,London,8,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Merssh,,William dmund,,William Langton,notary-public,,,1,11/1443,1443/11,1443/11/8
429,London,8,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/8
430,London,12,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/12
431,London,20,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/20
432,London,24,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/24
433,London,24,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/24
434,London,24,11,1443,,51.512747,-0.113583,London,convent of Canonlegh,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/24
435,London,24,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/24
436,London,29,11,1443,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1443,1443/11,1443/11/29
437,London,29,1,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1444,1444/1,1444/1/29
438,London,31,1,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1444,1444/1,1444/1/31
439,London,31,1,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1444,1444/1,1444/1/31
440,London,7,2,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1444,1444/2,1444/2/7
441,London,8,2,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1444,1444/2,1444/2/8
442,London,8,2,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1444,1444/2,1444/2/8
443,London,13,2,1444,,51.512747,-0.113583,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1444,1444/2,1444/2/13
444,London,12,2,1449,,51.507351,-0.127758,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1449,1449/2,1449/2/12
445,London,11,3,1450,,51.507351,-0.127758,London,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1450,1450/3,1450/3/11
446,London,2,3,1453,,51.507351,-0.127758,London,,"Notification by Thomas, bishop of Ely, Thomas, bishop of Bath and Wells, and William Wytham, doctor of laws, commissaries appointed by John, late archbishop of Canterbury, to … (they are all present?)",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1453,1453/3,1453/3/2
447,London Bishop Ely Inn,16,5,1453,,51.51868,-0.10725,London,Inns of the said bishops at London,"Notification by Thomas, bishop of Ely, and Thomas, bishop of Bath and Wells",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir Thomas Smyth,Priest,Master Thomas Bromhale,,Thomas Eustace,,,,1,5/1453,1453/5,1453/5/16
448,London Bishops Inn,22,1,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1444,1444/1,1444/1/22
449,London Bishops Inn,29,1,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1444,1444/1,1444/1/29
450,London Bishops Inn,4,5,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1444,1444/5,1444/5/4
451,London Bishops Inn,29,6,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1444,1444/6,1444/6/29
452,London Bishops Inn,16,10,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/16
453,London Bishops Inn,18,10,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/18
454,London Bishops Inn,20,10,1444,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/20
455,London Bishops Inn,18,1,1445,,51.51213,-0.11451,London,Bishop's manor at London,p 22,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1445,1445/1,1445/1/18
456,London Bishops Inn,25,1,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,"Clerk of the diocese of Salisbury, notary-public",1,1/1445,1445/1,1445/1/25
457,London Bishops Inn,23,2,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1445,1445/2,1445/2/23
458,London Bishops Inn,28,2,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,John Austil,Esquire,Master John Pope,S.T.P.,Master William Child,M.A.,,,1,2/1445,1445/2,1445/2/28
459,London Bishops Inn,1,3,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1445,1445/3,1445/3/1
460,London Bishops Inn,2,3,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,notary-public,1,3/1445,1445/3,1445/3/2
461,London Bishops Inn,10,3,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1445,1445/3,1445/3/10
462,London Bishops Inn,12,3,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1445,1445/3,1445/3/12
463,London Bishops Inn,11,5,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1445,1445/5,1445/5/11
464,London Bishops Inn,29,5,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Bernard,Precentor of Wells,Master John Stokes,Canon of Wells,Master William North,notary-public,,,1,5/1445,1445/5,1445/5/29
465,London Bishops Inn,2,6,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1445,1445/6,1445/6/2
466,London Bishops Inn,2,6,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1445,1445/6,1445/6/2
467,London Bishops Inn,3,6,1445,,51.51213,-0.11451,London,Parlour within the bishop's inn at London,"*** p. 37 - Thomas Est, clerk, paid 11l. 5s. In the bishop's name to Master John Castilionus, … by the hands of Henry Colsterman, the said collector's clerk … and the said Henry thereupon delivered to the bishop, by the hands of Thomas Est, … prese",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir John Trevenant,Canon of Wells,William North,Bachelor in laws,William Langton,Bishop's registrar,,,1,6/1445,1445/6,1445/6/3
468,London Bishops Inn,10,6,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,William North,Bachelor in laws,John Bokelond,Clerk,,Notary,,,1,6/1445,1445/6,1445/6/10
469,London Bishops Inn,21,7,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir John Yonge,Chaplain,Master John Moreton,Professor of theology,Master John Pope,Professor of theology,,,1,7/1445,1445/7,1445/7/21
470,London Bishops Inn,24,7,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1445,1445/7,1445/7/24
471,London Bishops Inn,2,8,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1445,1445/8,1445/8/2
472,London Bishops Inn,13,9,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/13
473,London Bishops Inn,28,10,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/28
474,London Bishops Inn,20,11,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,William North,,1,11/1445,1445/11,1445/11/20
475,London Bishops Inn,21,11,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1445,1445/11,1445/11/21
476,London Bishops Inn,22,11,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1445,1445/11,1445/11/22
477,London Bishops Inn,30,11,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1445,1445/11,1445/11/30
478,London Bishops Inn,5,12,1445,,51.51213,-0.11451,London,Bishop's inn at London,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Thomas Been,,1,12/1445,1445/12,1445/12/5
